"district","county","year","sex","grade_level","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","number_healthy_weight","percent_healthy_weight","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis","num_free_lunch","num_reduced_lunch"
20101,"ALLEGANY",2012,"FEMALE","MIDDLE/HIGH",8,17,5,10.6,13,27.7,29,0.617,26,2,5,0,614,315,337,0,5,82,234,162,59
20101,"ALLEGANY",2013,"FEMALE","MIDDLE/HIGH",8,17,5,10.6,13,27.7,29,0.617,31,6,8,0,618,319,354,0,10,88,253,187,54
20101,"ALLEGANY",2016,"FEMALE","MIDDLE/HIGH",8,17,5,10.6,13,27.7,29,0.617,24,0,7,0,569,295,317,0,12,80,263,229,23
20101,"ALLEGANY",2014,"FEMALE","MIDDLE/HIGH",8,17,5,10.6,13,27.7,29,0.617,29,1,11,0,595,320,327,0,11,88,271,198,57
20101,"ALLEGANY",2015,"FEMALE","MIDDLE/HIGH",8,17,5,10.6,13,27.7,29,0.617,24,0,7,0,585,304,325,0,13,88,270,234,24
20101,"ALLEGANY",2012,"MALE","MIDDLE/HIGH",5,13.9,5,13.9,10,27.8,21,0.583,26,2,5,0,614,315,337,0,5,82,234,162,59
20101,"ALLEGANY",2013,"MALE","MIDDLE/HIGH",5,13.9,5,13.9,10,27.8,21,0.583,31,6,8,0,618,319,354,0,10,88,253,187,54
20101,"ALLEGANY",2016,"MALE","MIDDLE/HIGH",5,13.9,5,13.9,10,27.8,21,0.583,24,0,7,0,569,295,317,0,12,80,263,229,23
20101,"ALLEGANY",2014,"MALE","MIDDLE/HIGH",5,13.9,5,13.9,10,27.8,21,0.583,29,1,11,0,595,320,327,0,11,88,271,198,57
20101,"ALLEGANY",2015,"MALE","MIDDLE/HIGH",5,13.9,5,13.9,10,27.8,21,0.583,24,0,7,0,585,304,325,0,13,88,270,234,24
21102,"ALLEGANY",2016,"FEMALE","ELEMENTARY",11,28.9,10,26.3,21,55.3,17,0.447,1,1,5,0,225,133,99,0,0,30,132,113,12
21102,"ALLEGANY",2012,"FEMALE","ELEMENTARY",11,28.9,10,26.3,21,55.3,17,0.447,1,0,4,0,227,119,114,1,1,24,112,96,24
21102,"ALLEGANY",2014,"FEMALE","ELEMENTARY",11,28.9,10,26.3,21,55.3,17,0.447,1,0,1,0,218,118,102,0,0,19,125,107,18
21102,"ALLEGANY",2015,"FEMALE","ELEMENTARY",11,28.9,10,26.3,21,55.3,17,0.447,1,0,4,0,242,139,108,0,0,29,144,121,17
21102,"ALLEGANY",2013,"FEMALE","ELEMENTARY",11,28.9,10,26.3,21,55.3,17,0.447,1,0,2,0,214,113,104,1,0,21,112,67,13
21102,"ALLEGANY",2016,"MALE","ELEMENTARY",6,24,5,20,11,44,14,0.56,1,1,5,0,225,133,99,0,0,30,132,113,12
21102,"ALLEGANY",2012,"MALE","ELEMENTARY",6,24,5,20,11,44,14,0.56,1,0,4,0,227,119,114,1,1,24,112,96,24
21102,"ALLEGANY",2014,"MALE","ELEMENTARY",6,24,5,20,11,44,14,0.56,1,0,1,0,218,118,102,0,0,19,125,107,18
21102,"ALLEGANY",2015,"MALE","ELEMENTARY",6,24,5,20,11,44,14,0.56,1,0,4,0,242,139,108,0,0,29,144,121,17
21102,"ALLEGANY",2013,"MALE","ELEMENTARY",6,24,5,20,11,44,14,0.56,1,0,2,0,214,113,104,1,0,21,112,67,13
21601,"ALLEGANY",2016,"FEMALE","ELEMENTARY",9,23.7,6,15.8,15,39.5,23,0.605,0,1,9,0,287,160,148,0,11,58,226,195,26
21601,"ALLEGANY",2013,"FEMALE","ELEMENTARY",9,23.7,6,15.8,15,39.5,23,0.605,0,0,2,0,339,174,181,0,14,70,229,197,26
21601,"ALLEGANY",2012,"FEMALE","ELEMENTARY",9,23.7,6,15.8,15,39.5,23,0.605,0,0,4,0,334,173,178,0,13,67,211,191,32
21601,"ALLEGANY",2014,"FEMALE","ELEMENTARY",9,23.7,6,15.8,15,39.5,23,0.605,0,0,6,0,320,179,162,0,15,53,237,212,14
21601,"ALLEGANY",2015,"FEMALE","ELEMENTARY",9,23.7,6,15.8,15,39.5,23,0.605,0,0,11,0,309,174,161,0,15,63,229,210,17
21601,"ALLEGANY",2016,"MALE","ELEMENTARY",6,16.2,7,18.9,13,35.1,24,0.649,0,1,9,0,287,160,148,0,11,58,226,195,26
21601,"ALLEGANY",2013,"MALE","ELEMENTARY",6,16.2,7,18.9,13,35.1,24,0.649,0,0,2,0,339,174,181,0,14,70,229,197,26
21601,"ALLEGANY",2012,"MALE","ELEMENTARY",6,16.2,7,18.9,13,35.1,24,0.649,0,0,4,0,334,173,178,0,13,67,211,191,32
