"district","county","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","grade_level","number_healthy_weight","percent_healthy_weight","sex","year","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
131602,"DUTCHESS",24,25,18,18.8,42,43.8,"MIDDLE/HIGH",54,0.563,"FEMALE",2019,176,167,200,1,841,697,751,23,63,183,340
131602,"DUTCHESS",12,11.3,20,18.9,32,30.2,"MIDDLE/HIGH",74,0.698,"MALE",2019,176,167,200,1,841,697,751,23,63,183,340
131701,"DUTCHESS",20,14.4,19,13.7,39,28.1,"ELEMENTARY",95,0.683,"FEMALE",2019,44,38,188,6,1490,860,928,35,22,232,485
131701,"DUTCHESS",19,12.2,18,11.5,37,23.7,"ELEMENTARY",114,0.731,"MALE",2019,44,38,188,6,1490,860,928,35,22,232,485
131701,"DUTCHESS",22,20.8,16,15.1,38,35.8,"MIDDLE/HIGH",68,0.642,"FEMALE",2019,44,38,188,6,1490,860,928,35,22,232,485
131701,"DUTCHESS",21,16.5,19,15,40,31.5,"MIDDLE/HIGH",82,0.646,"MALE",2019,44,38,188,6,1490,860,928,35,22,232,485
131801,"DUTCHESS",14,21.9,15,23.4,29,45.3,"MIDDLE/HIGH",35,0.547,"FEMALE",2019,27,9,84,1,787,479,468,17,39,107,211
131801,"DUTCHESS",12,18.2,6,9.1,18,27.3,"ELEMENTARY",48,0.727,"FEMALE",2019,27,9,84,1,787,479,468,17,39,107,211
131801,"DUTCHESS",8,11.9,13,19.4,21,31.3,"ELEMENTARY",46,0.687,"MALE",2019,27,9,84,1,787,479,468,17,39,107,211
131801,"DUTCHESS",8,10.3,12,15.4,20,25.6,"MIDDLE/HIGH",53,0.679,"MALE",2019,27,9,84,1,787,479,468,17,39,107,211
140101,"ERIE",33,14,30,12.8,63,26.8,"ELEMENTARY",165,0.702,"FEMALE",2019,8,12,20,8,1565,826,807,5,20,192,499
140101,"ERIE",26,13.1,26,13.1,52,26.1,"ELEMENTARY",141,0.709,"MALE",2019,8,12,20,8,1565,826,807,5,20,192,499
140101,"ERIE",17,13,21,16,38,29,"MIDDLE/HIGH",93,0.71,"FEMALE",2019,8,12,20,8,1565,826,807,5,20,192,499
140101,"ERIE",20,19.2,27,26,47,45.2,"MIDDLE/HIGH",57,0.548,"MALE",2019,8,12,20,8,1565,826,807,5,20,192,499
140203,"ERIE",133,16.6,104,13,237,29.6,"MIDDLE/HIGH",541,0.675,"MALE",2019,1422,402,409,22,7406,4993,5121,388,453,1154,1688
140203,"ERIE",139,14.6,105,11,244,25.5,"ELEMENTARY",680,0.712,"FEMALE",2019,1422,402,409,22,7406,4993,5121,388,453,1154,1688
140203,"ERIE",132,13.5,108,11.1,240,24.6,"ELEMENTARY",710,0.728,"MALE",2019,1422,402,409,22,7406,4993,5121,388,453,1154,1688
140203,"ERIE",135,16.5,89,10.9,224,27.4,"MIDDLE/HIGH",574,0.702,"FEMALE",2019,1422,402,409,22,7406,4993,5121,388,453,1154,1688
